Startup Name,Impact Statement,Description,Website,Primary SDG,Additional SDGs,Type of Innovation,Target(s),Indicator(s),Direct / Indirect Impact,Industry,Focus Area,Business Model,Customer,Location of Impact,Circular Value Chain,Maturity (new),Funded,Funding Round,Funding amount ($),Funding category,Last funding date,Country Cat. / Market,Country,City,Founded,Employees,Logo,Deadpooled,Investor,No Tracxn,Orange?,Source,Complete,Checked,Relevance,To Include,Hero,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity,0.4,0.6,0,Text to no.conversion,Logo,Seeking funding,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
Spleis,,"Spleis makes it easy to raise money for good ideas<br><br>In short, we deal with public financing and want to make it easy for you to raise money for good ideas and good causes.<br><br>Simply explained, our goal is to create the best and easiest service for those who want to raise money for a specific purpose. We believe in fairness and truthfulness, and therefore choose to trust that the information you provide is accurate and that the purpose you collect for is real.",https://www.spleis.no,SDG 1: No Poverty,,,,,Direct,,,B2B,,Growth and expansion,,Nascent,Yes,Seed,,,,Developed markets,Norway,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,TRUE,FALSE,,0.5,0,1,0.2,Nascent,,,,0,,Currently not looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,SDG 12: Responsible Consumption and Production,
She Community,,"Network for female entrepreneurs, leaders and investors. <br><br>In SHE we believe that better gender balance in business fuels innovation and growth. The World Economic Forum recently added 47 years to the time needed to reach workplace equality. If we continue like this it will now take 217 years to end gender disparities in the workplace. <br><br>That is why we are inviting leaders, entrepreneurs, investors, politicians, students and business professionals to join us in creating Europe&rsquo;s largest gender equality conference<br><br>We want to inspire and engage women to take the next step and start their positive change.",http://www.sheconference.no/,,,,,,Direct,,,B2B,,Growth and expansion,,,,Bootstrapping,,,,Developed and emerging markets,Norway,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,SDG 17: Partnerships for the Goals,
Se7en-HRS,,"Digitization of maritime operations.<br><br>Seven-HRS is a collaboration platform for maritime operations. We focus on next-generation tools for streamlining HR processes.<br><br>Seven-HRS understands the complexities and challenges facing the maritime industry. We want to help, by streamlining and modernizing their HR processes.<br><br>Seven-HRS develops solutions for the industry based on 3 basic principles: <br>User interface - Efficiency - Cost saving",http://seven-hrs.com,,,,,,Direct,,,B2B,,Product or prototype,,,,Pre-seed,,,,Developed markets,Norway,,2017,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
Flare,,"Safety. <br><br>Flare is a button on your phone, and when you press it you get help from the nearest other helpers around you. Think of it as a digital version of the night names. Helpers. If you know someone needs your help, are you helping them? When you have a flare on your phone, you will be notified when someone around you needs help. <br><br>For each new download, flare works better and better. The flare, the better.",http://flare.no,,,,,,Direct,,,B2C,,Product or prototype,,,,Seed,,,,Developed markets,Norway,,2019,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,SDG 9: Industry Innovation and Infrastructure,
SmartUse,,"Smart circular sustainable solutions snabling a multi-stakeholder transition to a Smart Circular Economy worldwide.<br><br>Supporting cities, regions, industries, companies and NGOs to increase resource utilization through smart solutions and collaboration.<br><br>To increase resource utilization through smart solutions supporting a transition to a Circular Economy. Increased utilization of assets reduces overall consumption and creates positive economic, environmental and social impact. <br><br>We actively work to change consumption habits and increase the understanding of the importance of access over ownership. Understanding the impact of the platform and sharing economies and shifting to an access over ownership model can support a regenerative vs extractive economic solution that enables a transition to a Circular Economy.",https://smartuse.global,SDG 12: Responsible Consumption and Production,,,,,Direct,,,B2B,,Go to market,,,,Pre-seed,,,,Developed and emerging markets,Norway,,2018,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Favrs,,Favrs works to make Gr&uuml;nerl&oslash;kka the world&apos;s sharing capital!<br><br>The goal is to make L&oslash;kka the friendliest and most sustainable district in the world where people look for opportunities to share and help each other.<br><br>You save time and money and get more freedom and flexibility. You make the world more friendly and sustainable,http://Favrs.net,SDG 12: Responsible Consumption and Production,,Network,,,Direct,Others,,B2C,,Idea,Product use,Nascent,Yes,Seed,,,,Developed markets,Norway,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,TRUE,FALSE,,0.5,0,1,0.2,Nascent,,,,0,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,SDG 12: Responsible Consumption and Production,
As We Are Now,,A dress that feels as good as it looks.<br><br>Who said dressing comfortably had to be boring? AWAN (As We Are Now) is a Norwegian brand founded with the belief that women&apos;s clothes should feel just as good as they look.<br><br>Our lounge and everyday dresses are designed for the female body and are made in Portugal in some of the softest and most sustainable fabrics.,http://www.aswearenow.co,SDG 12: Responsible Consumption and Production,,Product Performance,,,Direct,Fashion,,B2C,,Growth and expansion,Design,Nascent,Yes,Seed,,,,Developed markets,Norway,,2018,1-10,,,,,,The Hub,FALSE,FALSE,,TRUE,FALSE,,0.5,0,1,0.2,Nascent,,,,0,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,SDG 12: Responsible Consumption and Production,
Sensonomic,,"Actionable Insight for Adaptive Agriculture<br><br>Sensonomic helps you improve your decisions by building digital versions of your operations. We combine your company data with data from satellites, drones and open sources, and use this to inform our computational simulations. Our software allows you to test the outcome of your decisions before implementation.<br><br>We make global agriculture more profitable and resilient through advanced computational simulations, enabling our clients to quickly adapt their operations.",http://www.sensonomic.com,SDG 12: Responsible Consumption and Production,,Product System,,,Direct,Food,,B2B,,Product or prototype,Manufacturing,Nascent,Yes,Seed,,,,Emerging markets,Norway,,2015,1-10,,,,,,The Hub,FALSE,FALSE,,TRUE,FALSE,,0.5,0,1,0.2,Nascent,,,,0,,Currently not looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,SDG 12: Responsible Consumption and Production,
SammeVei,,"Norway&apos;s leading ridesharing app <br><br>According to NAF, an average Norwegian is standing in traffic jams for an average of 20 minutes during a car journey. During rush hour, drivers in Norway sit alone in 6 out of 7 cars. This results in long queues resulting in loss of time and money, as well as unnecessary CO2 emissions.<br><br>By reducing car traffic by approximately 10% during rush hour, traffic will flow fine. The solution is rideshare with someone to and from a destination. To achieve this, we have developed a ridesharing app that connects people to daily destinations. By providing a platform connecting drivers and passengers in real time, without the need to publish trips in advance. Our users simply offer rides while leaving the breakfast table and SammeVei matches them with other users commuting the same way. <br><br>By filling up cars&rsquo; empty seats, SammeVei helps reduce traffic and carbon emissions, while letting commuters easily share their commuting costs at the same time.",http://SammeVei.no,,,,,,Direct,,,B2B,,Go to market,,,,Pre-seed,,,,Developed markets,Norway,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,SDG 15: Life on Land,
Lendonomy,,"At Lendonomy, we want to help young people build healthy relationships with money.<br><br>Sometimes, when you&rsquo;re young money seems to just slip out of your pockets and before you know, you&rsquo;re broke and have no idea how to figure out a way to pay for your next meal. <br><br>Lendonomy is a mobile-based social network for money with the P2P lending core, designed specifically for millennials and generation Z. It works as a mobile app on the user side and as a desktop app on the business side (for Lendonomy partners). Users exist within commonly shared pools of money, within which they can freely borrow and lend. A single user can be both a borrower and a lender.<br><br>Lendonomy is building a financial product that is set to become a part of a popular culture with the vision to help youth build a healthy relationship with money.",https://lendonomy.io,,,,,,Direct,,,B2C,,Product or prototype,,,,Seed,,,,Developed markets,Norway,,2018,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,SDG 11: Sustainable Cities and Communities,
Evoy,,"Eliminate pollution from boats aroundthe world with electric propulsion. <br><br>Electric propulsion for boats has again started to appear on lakes, waterways, and oceans and the numbers are rapidly increasing. Presently these are mainly small low voltage systems for slow displacement hulls.<br><br>Evoy will move electric propulsion into faster planing hull boats. The range is still lower than for comparable ICE installations, but will be sufficient for many.<br><br>Users will enjoy voyages without noise, smell, pollution and breakdowns. The significantly lower maintenance and usage cost will give owners peace of mind to use their boats like they should &ndash; every day.",https://www.evoy.no,,,,,,Direct,,,B2B,,Go to market,,,,Pre-seed,,,,Developed and emerging markets,Norway,,2018,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 4: Quality Education,
Kruser AS,,"A smarter boat life (google translate)<br><br>Boating survey 2018 shows that on average 63% of Norwegian boat owners only use their boat eight times during the season.<br><br>It is therefore a good solution to share a boat for both the boat owner and the environment. As a member of an electric boat pool, you help to make better use of both boat and coastal resources while reducing your own boat costs.<br><br>When a pool is well organized, resources will be utilized optimally and create benefits for both the users and the environment.",http://www.kruser.no,,,,,,Direct,,,B2B,,Go to market,,,,Seed,,,,Developed markets,Norway,,2018,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,SDG 11: Sustainable Cities and Communities,
GiiK,,"In 2015 the UN implemented 17 Sustainable Development Goals, aiming for a sustainable society by 2030. Today we register the US withdrawing from the Paris agreement, CO2 levels at an all time high and increased polarization in our society.<br><br>GiiK is about gamification, knowledge and people. Our product, Glowb, is a knowledge platform packed with game mechanics and rewards. Its purpose is to achieve lasting attitude and behavioral changes in our society.<br><br>Our vision is to accelerate our transition towards a sustainable society.",http://www.giik.org,,,,,,Direct,,,B2B,,Product or prototype,,,,Pre-seed,,,,Developed markets,Norway,,2018,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,SDG 11: Sustainable Cities and Communities,
REPAIRABLE,,"We have certified the best repairers! Discreet and solid repair at fixed prices.<br><br>Repairable is a toolbox for the fashion industry, me and you, on our common journey towards a more sustainable and circular system. Repair is an important part of a new pattern of consumption, and the stores that receive clothing for repair through our membership are actively working to extend the life of textiles and shoes.",http://Www.repairable.no,SDG 12: Responsible Consumption and Production,,,,,Direct,,,B2B,,Go to market,,,,Pre-seed,,,,Developed markets,Norway,,2017,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,SDG 4: Quality Education,
Haawal,,"Efficient flood protection, made simple.<br><br>Flooding has become a global problem, occurring more frequently while aIso being more destructive. With the knowledge that simple solutions can have an enormous impact, <br><br>Haawal started developing Flood Grating. Finding solutions to counter the increasing issues brought on by a changing climate.",http://www.haawal.com,SDG 12: Responsible Consumption and Production,,,,,Direct,,,B2B,,Growth and expansion,,,,Pre-seed,,,,Developed and emerging markets,Norway,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,SDG 12: Responsible Consumption and Production,
SOIstrat Consulting,,Accelerating People and Planet Sustainability.<br><br>SOIstrat Consulting is a next practice management company with the vision to promote and accelerate People and Planet Sustainability in business value chains through a simple partnership for Sustainable Development Goals as a strategic approach to do business.,http://soistrat.com,,,,,,Direct,,,B2B,,Product or prototype,,,,Pre-seed,,,,Developed markets,Norway,,2019,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,,
InMarket AS,,"We build careers all the way from high school<br><br>It should be possible for your company to connect with students without requiring a lot of paperwork, resources and time.<br><br>Our app is designed so that with low resource use you can meet, influence and include students from high school. You can invite in to a project, case, interview, conversation and other relevant activities with just a few keystrokes. We develop a gamification method that maps the business and students on the phone through short cases, specific questions and games.<br><br>In Market wants to see young people grow with confidence in what they want to become, who they want to be and what they want to achieve. We have tested out a concept that will increase well-being, security and knowledge of the future.",https://inmarket.as/,,,,,,Direct,,,B2B,,Go to market,,,,Pre-seed,,,,Developed markets,Norway,,2017,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,SDG 9: Industry Innovation and Infrastructure,
Future Leaders Global,,"Future Leaders is a new and bold approach to leadership education, a program designed to celebrate and support the development of more conscious leaders, ready to take on the glocal challenges of tomorrow.<br><br>Today, we are facing increasingly more complex challenges which we need to face as a global community. This program is an answer to these complex challenges of our time, designed to develop the mindsets, skills and abilities needed in this context.",https://www.futureleadersglobal.com/,,,,,,Direct,,,B2B,,Growth and expansion,,,,Pre-seed,,,,Developed and emerging markets,Norway,,2015,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 8: Decent Work and Economic Growth,
GreenStock,,"GreenStock was established in 2018 by architects from NTNU in close dialogue with property owners and the construction industry. GreenStock is a collaboration platform that handles recycling from A to Z.<br><br>40% of CO2 emissions and use of energy and water resources come from the construction industry in both Norway and Europe. At the same time, the industry and property owners experience that there are many challenges in reusing building materials: technical, legal and economic. Recycling should be easy and not least profitable.",http://www.greenstock.no,,,,,,Direct,,,B2B,,Go to market,,,,Pre-seed,,,,Developed markets,Norway,,2018,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 8: Decent Work and Economic Growth,
Meru Health,,"Founded by experienced entrepreneurs and scientists, Meru Health develops and delivers cost-effective, clinically proven and engaging digital solutions to empower people living with depression.<br><br>Meru Health&apos;s digital clinic offers an app-based treatment program for depression, burnout and anxiety. The program combines technology, evidence-based therapy and daily support from licensed clinicians - the new standard of mental healthcare. The program is designed as a 12-week program divided into weekly themes in which the focus is on tackling mental health challenges with multiple approaches and by building habits to prevent relapses.",http://www.meruhealth.com/,SDG 3: Good Health and Well-being,,,,,Direct,,,B2B,,Growth and expansion,,Nascent,Yes,Series A,,,,Developed markets,Finland,,2015,11-50,,,,,,The Hub,FALSE,FALSE,,TRUE,FALSE,,0.5,0.33,1,0.398,Nascent,,,,0,,Currently not looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,SDG 12: Responsible Consumption and Production,
The Shortcut,,"The Shortcut is a community-driven organisation that promotes diversity as an engine for growth. They inspire and empower the community through gatherings, workshops, trainings and programmes that help people explore ideas, share knowledge and develop skills to enable new talents required in the startup life. More people from diverse backgrounds are encouraged to consider creating or working for a startup to best utilize their skills and aspirations. The main criterion for participating is ATTITUDE: if you are curious about technology and entrepreneurship, you are welcome to join. This is your starting point to take an active role in (re)building your future. <br><br>The Shortcut is a non-profit organisation owned by Startup Foundation sr, and a sister organisation to Slush, Junction, Wave Ventures, Maria 01, Rising North and Startup Sauna; in association with Aaltoes, Kiuas, HelTech, Dash, FallUp and Startuplifers.",http://theshortcut.org/,,,,,,Direct,,,B2B,,Growth and expansion,,,,Seed,,,,Developed and emerging markets,Finland,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Heimo,,"No distraction, just discussion &ndash; The most simple discussion forum solution. Heimo&rsquo;s solution is a modern discussion forum of social media era. Heimo has created a simple, beautiful and user friendly online forum, where the focus is on the discussion flow and mobile usage. <br><br>Heimo.co is an online community where peers help each other. Anyone can find someone who has gone through the same challenges in their life. The best helper is the one who has solved the same problems. Nothing is more meaningful than compassion and empathy.",https://heimo.co,,,,,,Direct,,,B2C,,Go to market,,,,Seed,,,,Developed and emerging markets,Finland,,2014,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 8: Decent Work and Economic Growth,
Naava,,"Naava is connecting humanity with nature, by making the smartest green walls on the planet. Naava has a vision, a mission, to deliver high quality natural air to all indoor spaces. Using cutting edge technology, and inspired by the purest air in the world, they have developed beautiful green walls which naturally purify the air we breathe. <br><br>The name, Naava, derives from an indigenous Finnish moss that grows only in Finnish Lapland, and which only thrives in the cleanest air. We use bio-transformation and microbial filtration to bring this clean air to everyone. Combining millions of years of nature&apos;s evolution with the latest, most innovative artificial intelligence, Naava green walls optimize air quality and humidity and are 100 times more efficient than regular green walls. <br>There is increasing evidence of the impact that poor quality air has on our performance and our health. Humanity spends more and more time in urban environments, locked away from natural air.",http://www.naava.io,,,,,,Direct,,,B2B,,Growth and expansion,,,,Seed,,,,Developed markets,Finland,,2011,11-50,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Diske,,"Bono is the very first virtual AI personal trainer. It is not a chatbot but an entity that can take individual needs and variables into account. Bono can be a nutritional coach, sport coach, pharmacist, nurse and many other things. It&apos;s like a group of professionals in your pocket. <br><br>Diske has created an ultimate AI engine that uses multiple datasets and series of algorithms for creating different kind of solutions to healthcare and wellness sectors. State of the art know-how is combined with the latest technologies and spiced up with evidence based medicine. The engine can be used to make different solutions in different industries. Different parts are already tested in both the healthcare sector (hospital, pharmacy) and corporate sector (food industry).<br><br>Finnish based software company, specialized in health, wellness and web technologies. The intention is to make the best and easiest health management tool ever.",http://www.diske.net,,,,,,Direct,,,B2B,,Go to market,,,,Seed,,,,Developed markets,Finland,,2014,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Euformatics,,"Euformatics provides expert computational services at the intersection of life sciences and software. The mission is to bridge the gap between practicing life scientists and creators of new data analysis and modeling methods. The focus is in adapting cutting-edge research in computational methods and putting them to practice. Customers are biotech companies and healthcare providers in Finland and abroad.<br><br>For over five years Euformatics has been developing practical, enterprise-level tools which bring published and validated technologies to sup&shy;&shy;port customers in both clinical diagnostics and translational research.<br>The databases provide context to genome measurements by integrating knowledge from both academic research and user sources. Only sufficient context enables efficient analysis workflows for diagnostic and clinical research purposes.",http://www.euformatics.com,,,,,,Direct,,,B2B,,Go to market,,,,Pre-seed,,,,Developed markets,Finland,,2010,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Silo.AI,,"AI for People defines what Silo.AI stands for. We want to build a world with safe human-centric AI that frees the human mind from manual labour and empowers human creativity. We believe that this is possible by accelerating human-machine co-operation for collective intelligence.<br><br>Silo.AI is the largest AI solution and service provider in the Nordics that offers scalable expertise in machine learning, computer vision and natural language processing.<br><br>The company serves clients across several industries on four continents. Some Silo.AI solutions include a tool for the Finnish airline Finnair to improve situational awareness and a tool to improve water quality at water treatment facilities for the global leading engineering company Ramboll. <br><br>Silo.AI strongly believes in the future of human-centered AI solutions to provide strategic assets to the core business of its customers in a measurable, safe and explainable way.",https://silo.ai/,,,,,,Direct,,,B2B,,Growth and expansion,,,,Series A,,,,Developed and emerging markets,Finland,,2017,11-50,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Kaiku Health,,"Kaiku Health was founded to improve the quality of life for cancer patients. <br><br>Kaiku Health is a patient&rsquo;s companion throughout different phases of therapy. It reduces uncertainty around symptoms by educating patients on their self-management strategies. Digital symptom monitoring can help cancer patients live longer, reduce ER visits and improve their quality of life.<br><br>Algorithms triage patients&rsquo; symptom reports, which helps clinical staff prioritise their daily work. Multidisciplinary care teams have access to a comprehensive decision support dashboard, which enables intervening to symptoms early. Clinics using Kaiku Health report decreased phone call burden and more efficient patient visits and contacts.<br><br>Regulatory-grade patient-reported outcomes data combined with clinical data opens significant new opportunities for evaluating the safety profile and effectiveness of treatments and their long-term outcomes in a real-world setting. This enables the development of new, better targeted ways to treat cancer.",http://kaikuhealth.com,,,,,,Direct,,,B2B,,Growth and expansion,,,,Series A,,,,Developed markets,Finland,,2012,11-50,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,SDG 9: Industry Innovation and Infrastructure,
DeskMe,,"DeskMe is an IoT-enabled desk reservation system for hot-desking offices and co-working spaces.<br><br>Reserve a desk at your own office - or in the external office network, using an IoT-enabled real-time 3D map! DeskMe is an app for organizations that utilize hot-desking practice. It allows users to see their office map with real-time desk availability statuses and possibility to make a reservation. When an own office is fully booked - or simply for convenience - users are able to reserve a desk in an external network of office locations, members of DeskMe Portal. <br><br>The idea originated from real problems the founders experienced - from a difficulty of finding a free desk or locating a colleague in the hot-desking environment to the challenge of booking a conference room in an unfamiliar city.",https://www.deskme.com/,,,,,,Direct,,,B2B,,Go to market,,,,Pre-seed,,,,Developed markets,Finland,,2017,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Funzi,,"Funzi is a mobile learning service that gives the world&rsquo;s billions of mobile users access to motivating and useful learning. We empower our learners to develop skills they need to build a better tomorrow with our service&rsquo;s engaging experience and effective pedagogy. These intuitive mobile-friendly courses are created from high-quality content of trusted experts and combined with our unique mobile pedagogy to ensure lasting impact.<br><br>Our core competence is in &ldquo;funzifying&rdquo; learning content through mobile pedagogy and gamification. Funzi is designed mobile-first and works on all connected devices, even lower-end feature phones. Learn on Funzi for free at: www.funzi.mobi<br><br>We work with the UN System, NGOs, public organizations, and large private sector enterprises. Examples of our customers include UNDP Syria and Bidvest. We have provided cost-effective delivery and monitoring of mobile learning for over 5 million users in developing countries and crisis areas.<br><br>We work towards the vision of a world without wars, a world where everyone is able to lead happy and healthy lives, and earn a meaningful livelihood.",https://www.funzi.fi/,,,,,,Direct,,,B2B,,Growth and expansion,,,,Seed,,,,Developed markets,Finland,,2014,11-50,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 8: Decent Work and Economic Growth,
Inscripta Oy,,"For doctors, the single most time-consuming task is typing in patient notes. This is time not spent on treating patients.<br><br>Inscripta Medical is a modern and cost-efficient solution designed for dictating, optimizing and storing patient notes onto a company&rsquo;s health record system.<br><br>The solution comprises of a dictation application, AI-powered speech recognition, and personnel and workflow management system.<br><br>Why Inscripta?<br>- 3x less time spent on transcribing the dictations<br>- 1-3 additional daily patients per doctor<br>- Quality of service<br>- Risk free, only pay for the use. No hidden costs",http://inscripta.io,,,,,,Direct,,,B2B,,Growth and expansion,,,,Seed,,,,Developed markets,Finland,,2015,11-50,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 4: Quality Education,
Vilike,,"We know technology. We love children. We enjoy gaming. We do sports &amp; education.<br> <br>By combining these, we will have a fun way to activate children to move more and create new ways to learn!<br><br>We elevate education and games by developing interactive #techtoy and games with sport pedagogically legit content with our partners. With gamification and playable technology, we take traditional play to new dimensions. <br><br>Along play we can assess skills development data and conduct long-term research with Artificial Intelligence and machine learning.",http://Www.vilike.fi,,,,,,Direct,,,B2B,,Product or prototype,,,,Pre-seed,,,,Developed markets,Finland,,2014,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Nordicomm Technologies,,"NordiComm is Finnish company specializing in building online communities. Our core values and mission are based on inventing and providing innovative products and services to fully capitalize emerging social media trends. We decode the basic human need to connect &ndash; and use that to help build deeper customer relationships.<br><br>We decipher our client&rsquo;s complex relationships with agencies, partners, customers, suppliers and any other members of their business eco-system. Based on that we build online communities for our clients, making it easier to collaborate, create, share and learn together. <br><br>Now you could have your whole Social Media Community, designed, built, up and running in less than a month.",http://nordicomm.co,,,,,,Direct,,,B2B,,Go to market,,,,Pre-seed,,,,Developed markets,Finland,,2016,11-50,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Rentmania.com,,"Rentmania is a peer-to-peer rental marketplace that introduces the goods-on-demand concept to the World. Our service connects owners that posses underutilized items such as motorhomes, sports gears, high-end electronics and DIY tools with people who need them right now. We equip every deal with insurance, delivery, and scoring for a hassle-free experience. <br><br>Our long-term vision is to turn expensive goods into assets at no additional risk. It&apos;s the new philosophy of tech-enabled consumption for a sustainable future.",http://rentmania.com,,,,,,Direct,,,B2C,,Growth and expansion,,,,Seed,,,,Developed and emerging markets,Finland,,2014,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,SDG 4: Quality Education,
